Temparature,M,M2
1.4,99.1397,9831.04
1.45,98.9161,9787.51
1.5,98.6491,9735.73
1.55,98.332,9674.52
1.6,97.9569,9602.53
1.65,97.5144,9518.18
1.7,96.9927,9419.56
1.75,96.3771,9304.38
1.8,95.6485,9169.81
1.85,94.7823,9012.36
1.9,93.7457,8827.69
1.95,92.4958,8610.49
2,90.9772,8354.45
2.05,89.1217,8052.6
2.1,86.8526,7698.11
2.15,84.0955,7286.02
2.2,80.7987,6815.57
2.25,76.9578,6292.64
2.3,72.6366,5731.11
2.35,67.9709,5151.78
2.4,63.1484,4578.8
2.45,58.3711,4034.87
2.5,53.8162,3537.2
2.55,49.6106,3095.65
2.6,45.8241,2713.17
2.65,42.4778,2387.51
2.7,39.5578,2113.37
2.75,37.0298,1884.07
2.8,34.85,1692.77
