Temparature,U,U2
1.4,-49.2247,2429.93
1.45,-49.0344,2413.03
1.5,-48.8115,2393.38
1.55,-48.5526,2370.72
1.6,-48.2538,2344.82
1.65,-47.9111,2315.4
1.7,-47.5203,2282.24
1.75,-47.077,2245.09
1.8,-46.5769,2203.75
1.85,-46.0156,2158.03
1.9,-45.3895,2107.83
1.95,-44.6956,2053.1
2,-43.9319,1993.91
2.05,-43.0982,1930.44
2.1,-42.196,1863.01
2.15,-41.229,1792.07
2.2,-40.2028,1718.22
2.25,-39.1253,1642.16
2.3,-38.0064,1564.69
2.35,-36.8568,1486.65
2.4,-35.6886,1408.88
2.45,-34.5134,1332.2
2.5,-33.3429,1257.33
2.55,-32.1875,1184.9
2.6,-31.0563,1115.43
2.65,-29.9569,1049.3
2.7,-28.8952,986.762
2.75,-27.8754,927.962
2.8,-26.9002,872.946
